Project Name;Project Description;Project Definition;Activity Description;Activity Name;Posted time (h);Comment
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Power2X HPP Presentation preparation
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Power2X Summit (+ HPP Panel)
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;"DevOps environment adjustment w/ Veronika
Backlog clean up
Sprint planing"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;Testing of the DEV features, bug reporting
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;DECRC hydrogen project
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;HPP Sizing Tool Status Update
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;UI Developer meeting
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Sync w/ David P. - HPP Sizing Tool vulnerability sync
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;HPP / H2 presentation for Orlen customer w/ Polish ABB
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"Accessibility issue - troubleshooting + resolution
Tasks distribution"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;"additional planning + update
Presentation and Q&A for SEABB"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;Vulnerability check / test
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;"HPP Bi-weekly Team Sync / update
+ follow up work"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;HPP Sizing status and PtX extension /w Rüdiger
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;testing of the latest features so they can be moved into prod.
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;"Course settlement
Complete overwork of DevOps
- Features / user stories / tasks"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;internal walk-through with technicians - settle down on their roles and responsibilities - definition in DevOps (creation of a work frame together with the tasks)
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"HPP Monetization plan
HPP Portfolio settlement
Internal meeting with the Czech managers are all parties interested/involved from Czech EUOPC"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;"Development w/ Bernhard and David
Regular meeting"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"Colab with the German team in order to adjust the HPP DevOps environment
-tags, features, deadline, hours est./spent, planning, reporting"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Completion of the task structure & task filtering
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Update in HPP sizing tool / Power2X
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Internal Feature Clean Up / closing of all old tasks
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;HPP meeting with PLABB - potential customer growth
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;New branches creation, Disaster recovery report
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;"Wiki extension
Internal status update"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;HPP regular meeting, meeting with Ian Holden (GB) - possible H2 interests
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;"Internal Sync + Wiki Update
SSL\TLS Certificate Renewal"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;NLABB HPP Portfolio presentation + support during customer meet up
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;"Internal Meeting
Task distribution
Access set up for Anton"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;DevOps tasks update
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;Technical regular meet up
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;bi-weekly team sync/meeting
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;HPP CZ internal sync
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"Road Map Creation + definition of timelines
Team Meeting and + initial draw ver. of road map"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;"Internal Road Map creation
Technical Crew Meeting"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Office meet up with the technical (CZE) crew - work on the road map, definition of new tasks, review of the closed ones
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;"Internal technical meeting
Anton's Repos issue - fixed"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Administrative changes in Business Application portal
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;Regular Technical Meeting
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Colab w/ Anton - visualization - dashboards outcome
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Berkheim Model Comparison
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Berkheim Regio Model extension - possible enhancements for HPP
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;"Frontend task definition and delegation
Review of current progress"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"HPP Presentation for Orlen (live demonstration + Q&A)
HPP Presentation for Berkehim"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"Colab w/ Anton -  Reporting Template
Dev. testing - bug found (project repository getting ""cleared"")"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;Visualization
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Internal meeting, frontend planing
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;"Discussion with Siva-K - hpp vm upgrade
Update of the wiki - closed project info
Review of H2 Study that was completed by a 3rd party - analysis of their work (due to the ongoing project - Berkheim)"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;"Regular technical meeting
Review of the reporting progress
Review of the latest model"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;"New H2 Posibility - BCR Phase 2 (customer was satisfied w/ phase 1) - they are requesting another phase
- preparation work
- latest model update"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;New Project proposal - data collected, model built, missing some additional information (questions sent towards the potential PM)
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;"HPP Converter Node - rootcause analysis > image analysis (Node-RED)
New tasks creation"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Task distribution, Node-RED upgrade (discussion) > node converter (html - pdf)
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"weekly technical meeting
BCR wiki update
Aruba (potential new project) data collection
Review of the UI changes w/ developers"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;"Bi-weekly meeting
UI tasks prep."
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;TS tests + Project Repo tests
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;TBA
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Dashboards related work / colab
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Regular technical meeting, change review, task distribution
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;pre-meeting review of all changes / roadmap
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;"Technical meeting, Frontend changes review / model ""fit"""
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Aruba customer meeting + presentation / possible new project
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;"New possible project - in Australia - material preparation + ppt
reported issue with HPP - live troubleshooting and hotfix"
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Task creation and distribution before the vacation
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;after vacation team sync
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;BESS reported issue check (old model)
2WAA072096;Optimax 6.3 upgrade;Engineering;Engineering;2.2.3.1.03;2;OPTIMAX Demo for FPSO / E-House | Technical Discussion
2WAA072096;Optimax 6.3 upgrade;Engineering;Engineering;2.2.3.1.03;1;Customer satisfaction meeting - EMS for ships + AEC news
2WAA072096;Optimax 6.3 upgrade;Engineering;Engineering;2.2.3.1.03;1;Portfolio study
2WAA072096;Optimax 6.3 upgrade;Engineering;Engineering;2.2.3.1.03;2;EMS for ships meeting + consultancy
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Kickoff meeting
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;3;FDS Walk trough
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Sharepoint Set Up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;Weekly meeting w/ Lars + Backup set up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;Modelica support work, back up set up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Back Up Set Up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;FDS Study, Signal list finalization
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;Weekly meet up + internal sync
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;Signal check up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;3;Preprocessing
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;"Internal ""battle plan"" meeting / sync"
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;"Weekly meet up
Node-red missing flows / fix"
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Forecast study
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Dashboards work
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;3;Node flows fix
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Weekly meet up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;4;Last update meeting before the break. + FAT
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;"Project management related work - clean up, hours reported
+ work on dashboards"
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Network prerequisites check Hyper-V X VMware ESXi
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;3;Status update, engineering tasks walkthrough, tab testing (entry values > signals - redis), heat prognosis sync
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;3;Parameters Inputs
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;Parameters Inputs
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;5;Forecast parameters signals creation and testing
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Weekly Meet Up / Updates
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;5;Optimizer + parameter signal input testing
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;Dashboards adjustment
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Q&A session
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;5;Dashboards sync + coop
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;Customer feedback review
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;3;Internal Sync, revision of the work and feedback from DKABB
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Weekly Status Update Meeting
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;3;Internal Sync > Dashboards update + switch parameters dev.
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;Norfors internal sync, switch button dev.
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;"Dashboard signals post-processing (sum for the boilers)
Model sync"
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Weekly meet up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;2;FDS walk-through task updates / internal clean up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Sync and planning meeting
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;OPC UA Communication Establishment
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Heat prognosis connection - Model + new script prep. + testing
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Model deployment + testing
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Points walkthrough, production units update
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;Tasks distribution / internal team meet up
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;regular check up, dashboard changes
2WAA072478;Denmark Optimax Support;Engineering;Engineering;2.1.2.03;1;internal team sync due to previous absence
2WAA073701;Optimax Support Switzerland 2024;Engineering;Glarnerland cloud migration;2.1.2.03.1;2;MQTT Python script upload recherche
2WAA073701;Optimax Support Switzerland 2024;Engineering;Glarnerland cloud migration;2.1.2.03.1;1;Final handover of the technical documentation since JT is working abroad
2WAA073701;Optimax Support Switzerland 2024;Engineering;Glarnerland cloud migration;2.1.2.03.1;1;FAT Review
2WAA073701;Optimax Support Switzerland 2024;Engineering;Glarnerland cloud migration;2.1.2.03.1;2;Final preparation for the IBN + alarms
2WAA073701;Optimax Support Switzerland 2024;Engineering;Glarnerland cloud migration;2.1.2.03.1;3;Optimax Cloud IBN: Raststätte Glarnerland
2WAA073701;Optimax Support Switzerland 2024;Engineering;Glarnerland cloud migration;2.1.2.03.1;2;Störungsbehebung Glarnerland
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;2;KickOff
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;External meeting
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;2;"Internal follow up + sync
Material study"
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;Q&A
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;5;"Report preparation
Internal + external discussion / sync
Data pre-processing"
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;4;"Report preparation
Data pre-processing"
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;Internal sync, new tasks distribution
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;3;Pre-processing, env. set up
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;4;
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;941P0024_OPTIMAX Study Biocat Roslev Rybjerg - Virtual presentation
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;2;Biocat Roslev - Input to the report on modeling and results
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;2;Draft report and results adjustments and details /w Lars & JB
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;meeting w/ Lars + JT - OPC UA connection discussion
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;OPX Env. Set up - Tables
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;Status update, task walk through
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;ABB and Biocat Roslev - Report evaluation call
2WAA074018;Biocat Roslev Optimax;Engineering;Engineering;2.2.3.1.03;1;Internal Handover document completion
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;2;External Kickoff - switched for Monday (haven't had open this project for Monday)
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;5;Model preparation + testing
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;1;Jour Fixe Meeting
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;3;Preprocessing - data collection / definition of parameters and variables
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;2;Data analysis and collection
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;1;H2 Regio Berkehim / Goal Definition
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;1;Input data analysis + model adjustment
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;2;Model adjustment as per the latest definition of targets
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;2;Walkthrough of the Steinbeis study
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;1;model work
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;2;Input data related work
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;2;Model review, update meeting
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;2;Data sort, parameters set up
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;1;Internal sync
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;4;Review of work done, sync due to previous absence, model review
2WAA075284;H2 Regio Berkheim;Engineering;Engineering;2.2.3.1.03;3;update presentation, parameters adjustment, over-weekend calculation review
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;6;
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;Timeseries generator - backend
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;Timeseries generator - fixing errors
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;overwiew - frontend
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;Timeseries generator - backend
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;Timeseries generator - fixing errors
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;5;Timeseries generator
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;Timeseries generator
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;On Focus Out / In - overview
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;On Focus Out / In - overview
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;On Focus Out / In - overview
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;1;On Focus Out / In - overview
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;On Focus Out / In - overview
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;3;On Focus Out / In - overview
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;On Focus Out / In - overview
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;2;On Focus Out / In - overview
2WAA072034;OPTIMAX APPS&MODELS CZ 2024 WP-12081.04;Engineering;Engineering;2.1.2.03;4;On Focus Out / In - overview
